Section,Original File,Most common start notation 1,Most common start notation freq 1,Most common start notation rel freq 1,Most common start notation 2,Most common start notation freq 2,Most common start notation rel freq 2,Most common end notation 1,Most common end notation freq 1,Most common end notation rel freq 1,Most common end notation 2,Most common end notation freq 2,Most common end notation rel freq 2
White Section
White,Fen_1_BL_W_modified.csv,Qb3,1,0.07142857142857142,Pd7,1,0.07142857142857142,Nd4,2,0.14285714285714285,Qb1,1,0.07142857142857142
White,Fen_1_BR_W_modified.csv,Rg1,6,0.039473684210526314,Rf7,3,0.019736842105263157,Rg1,10,0.06578947368421052,Rfe1,3,0.019736842105263157
White,Fen_1_WL_W_modified.csv,Rb8,4,0.15384615384615385,Kd4,2,0.07692307692307693,Rb8,5,0.19230769230769232,Qb7,2,0.07692307692307693
White,Fen_1_WR_W_modified.csv,Rg8,5,0.03205128205128205,Qh6,5,0.03205128205128205,Nf7,8,0.05128205128205128,Rh7,5,0.03205128205128205
White,Fen_2_BL_W_modified.csv,Pgf5,2,0.1,Ra3,1,0.05,Pgf5,2,0.1,Nc1,1,0.05
White,Fen_2_BR_W_modified.csv,Rg1,9,0.060810810810810814,Kg2,4,0.02702702702702703,Rg1,4,0.02702702702702703,Qf8,3,0.02027027027027027
White,Fen_2_WL_W_modified.csv,Rb8,3,0.11538461538461539,Nc7,2,0.07692307692307693,Rb8,2,0.07692307692307693,Nc7,2,0.07692307692307693
White,Fen_2_WR_W_modified.csv,Ng4,4,0.02197802197802198,Qh5,3,0.016483516483516484,Nf7,5,0.027472527472527472,Rg5,5,0.027472527472527472
White,Fen_3_BL_W_modified.csv,Rb1,1,0.05555555555555555,Qd4,1,0.05555555555555555,Pd7,1,0.05555555555555555,Qd4,1,0.05555555555555555
White,Fen_3_BR_W_modified.csv,Qe2,3,0.03409090909090909,Rg1,3,0.03409090909090909,Rg1,4,0.045454545454545456,Qe2,3,0.03409090909090909
White,Fen_3_WL_W_modified.csv,Be5,2,0.125,Ne4,2,0.125,Re3,2,0.125,Qb7,2,0.125
White,Fen_3_WR_W_modified.csv,Qh4,6,0.047619047619047616,Nf7,4,0.031746031746031744,Rg8,6,0.047619047619047616,Qd7,5,0.03968253968253968

Black Section
Black,Fen_1_BL_B_modified.csv,Rb1,2,0.1,Nb3,1,0.05,Rb1,3,0.15,Qc3,1,0.05
Black,Fen_1_BR_B_modified.csv,Rg1,10,0.056179775280898875,Nf2,7,0.03932584269662921,Rg1,12,0.06741573033707865,Qg2,8,0.0449438202247191
Black,Fen_1_WL_B_modified.csv,ph5,2,0.1111111111111111,Rb8,2,0.1111111111111111,ph5,2,0.1111111111111111,Kb8,1,0.05555555555555555
Black,Fen_1_WR_B_modified.csv,Rg8,5,0.036231884057971016,Qb2,3,0.021739130434782608,Nf6,3,0.021739130434782608,Rf8,3,0.021739130434782608
Black,Fen_2_BL_B_modified.csv,Rcb8,2,0.09090909090909091,Qd4,1,0.045454545454545456,Rb1,4,0.18181818181818182,Rc1,1,0.045454545454545456
Black,Fen_2_BR_B_modified.csv,Nf2,7,0.04487179487179487,Kg7,5,0.03205128205128205,Rg1,6,0.038461538461538464,Qh2,5,0.03205128205128205
Black,Fen_2_WL_B_modified.csv,Rb8,2,0.1,Re8,1,0.05,Bb3,2,0.1,Rd3,1,0.05
Black,Fen_2_WR_B_modified.csv,Rg8,5,0.029411764705882353,Qf6,5,0.029411764705882353,Rg8,6,0.03529411764705882,Qd3,4,0.023529411764705882
Black,Fen_3_BL_B_modified.csv,Ba3,1,0.05555555555555555,Na2,1,0.05555555555555555,Qa2,2,0.1111111111111111,Ke5,1,0.05555555555555555
Black,Fen_3_BR_B_modified.csv,Nf4,3,0.03260869565217391,Qd5,2,0.021739130434782608,Rh2,2,0.021739130434782608,Qh6,2,0.021739130434782608
Black,Fen_3_WL_B_modified.csv,Rd2,2,0.125,pd5,2,0.125,Ne3,2,0.125,Rgd8,2,0.125
Black,Fen_3_WR_B_modified.csv,Rg8,6,0.05357142857142857,Kg7,2,0.017857142857142856,Rg7,3,0.026785714285714284,Rg8,3,0.026785714285714284
