game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
3e6cefa2-6510-45ae-a851-2b1cce805c6f,71,36,MagnoEscobar_UNE,Qxb3,c2b3,c2,b3,Q,White,7k/1pp3p1/p7/3P3P/1q6/1Q6/P4r2/K3R3,0,0,0,0,0,0,6,7,3,4,1,1,0,0,0,0,1,1,21,22,2,1,1,0,2,0,0,0,5,1,9,0,2,0,0,0,0,1,0,1,0,1,3,1,0,5,0,9,0,1,3,0,e4|Nc6|d4|e6|d5|exd5|exd5|Nb8|Qe2+|Be7|Bg5|Nf6|c4|d6|Nc3|Bf5|h3|Ne4|Nxe4|Bxe4|Qxe4|Nd7|b4|Ne5|Bxe7|Qxe7|c5|dxc5|O-O-O|O-O|bxc5|Qxc5+|Qc2|Qa3+|Qb2|Qc5+|Qc2|Qd6|Nf3|Nd7|g4|a6|Ng5|Qf4+|Rd2|Qxg5|h4|Qf4|g5|Rfe8|Bd3|Ne5|Bxh7+|Kh8|g6|fxg6|Bxg6|Nf3|Bxe8|Rxe8|h5|Re2|Rd1|Rxf2|Kb2|Qb4+|Ka1|Nxd2|Re1|Nb3+|Qxb3
3e6cefa2-6510-45ae-a851-2b1cce805c6f,73,37,MagnoEscobar_UNE,Qb1,b3b1,b3,b1,Q,White,7k/1pp3p1/p7/3P3P/8/8/P4r2/KQ2q3,0,0,0,0,0,0,5,7,3,4,1,1,0,0,0,0,0,1,21,27,2,1,0,0,2,0,0,0,9,1,0,0,2,0,0,0,1,1,0,0,0,1,3,1,9,5,0,0,0,1,3,0,e4|Nc6|d4|e6|d5|exd5|exd5|Nb8|Qe2+|Be7|Bg5|Nf6|c4|d6|Nc3|Bf5|h3|Ne4|Nxe4|Bxe4|Qxe4|Nd7|b4|Ne5|Bxe7|Qxe7|c5|dxc5|O-O-O|O-O|bxc5|Qxc5+|Qc2|Qa3+|Qb2|Qc5+|Qc2|Qd6|Nf3|Nd7|g4|a6|Ng5|Qf4+|Rd2|Qxg5|h4|Qf4|g5|Rfe8|Bd3|Ne5|Bxh7+|Kh8|g6|fxg6|Bxg6|Nf3|Bxe8|Rxe8|h5|Re2|Rd1|Rxf2|Kb2|Qb4+|Ka1|Nxd2|Re1|Nb3+|Qxb3|Qxe1+|Qb1
2fd62e3c-2093-4521-968d-0893df5ff26e,71,36,pravin564,Pd7,d6d7,d6,d7,P,White,3k4/pr1P2pp/q3Qn2/4p3/5p2/P1n2P2/2P4P/K4R2,0,0,0,0,0,0,8,10,5,5,1,1,0,0,0,2,1,1,14,20,2,2,2,0,0,1,1,0,5,2,2,0,0,9,1,0,0,0,1,1,1,2,4,1,0,0,3,1,1,12,8,0,e4|e5|Nf3|d6|Nc3|f5|d3|f4|d4|Nc6|d5|Na5|Bb5+|c6|dxc6|bxc6|Ba4|Bg4|Nd5|Bxf3|gxf3|Qg5|Bd2|Qg2|Rf1|Nc4|Nc7+|Kf7|Nxa8|Nxb2|Qb1|Nxa4|Qb7+|Be7|Qxc6|Nc5|Nc7|Nf6|O-O-O|Rc8|Bb4|Ne6|Rg1|Qxf2|Rgf1|Qe3+|Rd2|Rxc7|Qb5|Nd4|Qa4|Ne2+|Kb2|Rb7|Rd3|Qb6|Qb3+|d5|exd5|Bxb4|d6+|Ke8|Qe6+|Kd8|Ka1|Bc3+|Rxc3|Nxc3|a3|Qa6|d7
2fd62e3c-2093-4521-968d-0893df5ff26e,71,36,pravin564,Pd7,d6d7,d6,d7,P,White,3k4/pr1P2pp/q3Qn2/4p3/5p2/P1n2P2/2P4P/K4R2,0,0,0,0,0,0,8,10,5,5,1,1,0,0,0,2,1,1,14,20,2,2,2,0,0,1,1,0,5,2,2,0,0,9,1,0,0,0,1,1,1,2,4,1,0,0,3,1,1,12,8,0,e4|e5|Nf3|d6|Nc3|f5|d3|f4|d4|Nc6|d5|Na5|Bb5+|c6|dxc6|bxc6|Ba4|Bg4|Nd5|Bxf3|gxf3|Qg5|Bd2|Qg2|Rf1|Nc4|Nc7+|Kf7|Nxa8|Nxb2|Qb1|Nxa4|Qb7+|Be7|Qxc6|Nc5|Nc7|Nf6|O-O-O|Rc8|Bb4|Ne6|Rg1|Qxf2|Rgf1|Qe3+|Rd2|Rxc7|Qb5|Nd4|Qa4|Ne2+|Kb2|Rb7|Rd3|Qb6|Qb3+|d5|exd5|Bxb4|d6+|Ke8|Qe6+|Kd8|Ka1|Bc3+|Rxc3|Nxc3|a3|Qa6|d7
a85e2c9e-1e77-4fc4-98c5-1edbfafae8b9,49,25,KTchess450,Bd4+,e3d4,e3,d4,B,White,1r6/2p1ppkp/6p1/8/3B2P1/n6P/P1P2P2/K1R5,1,0,0,0,0,0,8,8,5,5,0,0,1,0,0,1,1,1,26,26,2,3,1,2,0,0,0,0,5,3,1,4,0,0,0,0,0,0,1,0,0,1,5,1,0,0,3,0,0,1,4,5,e4|d6|Nf3|Nf6|Nc3|Bg4|h3|Bxf3|Qxf3|g6|d4|Bg7|e5|dxe5|dxe5|Nh5|g4|Nf6|exf6|Bxf6|Qxb7|Nd7|Qc6|O-O|Be3|Rb8|O-O-O|Ne5|Rxd8|Nxc6|Rxf8+|Rxf8|Bb5|Nb4|Kb1|Bxc3|bxc3|Nd5|Bxa7|Nxc3+|Kb2|Nxb5|Be3|Rb8|Ka1|Na3|Rc1|Kg7|Bd4+
a85e2c9e-1e77-4fc4-98c5-1edbfafae8b9,55,28,KTchess450,Rg1,c1g1,c1,g1,R,White,1r6/2p1p2p/6p1/5pPk/3B1P2/n6P/P1P5/K5R1,0,0,0,0,0,0,8,8,5,5,0,0,1,0,0,1,1,1,26,26,2,2,1,2,1,0,0,0,5,2,1,4,1,0,0,0,0,0,1,0,2,1,3,1,0,0,3,0,1,1,3,5,e4|d6|Nf3|Nf6|Nc3|Bg4|h3|Bxf3|Qxf3|g6|d4|Bg7|e5|dxe5|dxe5|Nh5|g4|Nf6|exf6|Bxf6|Qxb7|Nd7|Qc6|O-O|Be3|Rb8|O-O-O|Ne5|Rxd8|Nxc6|Rxf8+|Rxf8|Bb5|Nb4|Kb1|Bxc3|bxc3|Nd5|Bxa7|Nxc3+|Kb2|Nxb5|Be3|Rb8|Ka1|Na3|Rc1|Kg7|Bd4+|Kh6|f4|f5|g5+|Kh5|Rg1
10f163d3-0d0e-4999-b021-0724f665e876,45,23,Stephen34,Kxb2,a1b2,a1,b2,K,White,2r2rk1/pp4p1/4bn1p/3p1p2/5P2/2n1PN2/PK4PP/3R1B1R,0,0,0,0,0,0,10,12,5,6,0,0,1,1,1,2,2,2,14,18,3,4,2,1,0,0,0,0,13,3,4,1,0,0,0,0,0,0,1,0,2,3,3,3,0,0,3,0,2,7,3,10,f4|f5|c4|Nf6|Nf3|e6|d4|Bb4+|Bd2|Bxd2+|Nbxd2|O-O|Nb3|h6|d5|exd5|cxd5|d6|Qd3|c6|dxc6|Nxc6|O-O-O|d5|Nc5|Qb6|Ne6|Bxe6|b3|Nb4|Qd2|Rac8+|Kb2|Na6|e3|Nc5|b4|Nce4|Qe2|Qxb4+|Ka1|Nc3|Qb2|Qxb2+|Kxb2
10f163d3-0d0e-4999-b021-0724f665e876,69,35,Stephen34,Nd4,e6d4,e6,d4,N,White,6k1/pp4p1/2r3bp/3p4/3NpPn1/K7/P6P/1r6,0,0,0,0,0,0,5,11,3,6,0,0,0,1,1,1,0,2,17,33,0,2,1,2,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,2,1,3,3,1,5,0,0,4,1,9,3,0,f4|f5|c4|Nf6|Nf3|e6|d4|Bb4+|Bd2|Bxd2+|Nbxd2|O-O|Nb3|h6|d5|exd5|cxd5|d6|Qd3|c6|dxc6|Nxc6|O-O-O|d5|Nc5|Qb6|Ne6|Bxe6|b3|Nb4|Qd2|Rac8+|Kb2|Na6|e3|Nc5|b4|Nce4|Qe2|Qxb4+|Ka1|Nc3|Qb2|Qxb2+|Kxb2|Nxd1+|Kb3|Nxe3|Nd4|Bf7|Bd3|Bg6|g4|Nexg4|Rc1|Rxc1|Kb2|Rd1|Kc3|Ne4+|Bxe4|fxe4|Ne6|Rc8+|Kb4|Rb1+|Ka3|Rc6|Nd4
090c6ab3-4435-46ad-bba3-2f1417881e1b,47,24,Dimeji77,Qxc6,c2c6,c2,c6,Q,White,1r4k1/2p1p2p/2Q1pnpB/4r3/8/3P4/P4PPP/Kn3R2,0,0,0,0,0,0,9,10,5,5,1,0,1,0,0,2,1,2,18,17,2,4,1,0,0,2,0,0,5,4,1,0,0,12,0,0,1,0,0,0,1,3,3,2,3,0,0,0,5,5,3,5,Nf3|d5|e4|dxe4|Ng5|Be6|Nxe6|fxe6|Bc4|Qd7|d3|exd3|cxd3|Nf6|Nc3|Nc6|Bb5|a6|Ba4|Rb8|Rf1|b5|Nxb5|axb5|Bxb5|Rxb5|Rb1|Re5+|Kd2|g6|b4|Bh6+|Kc2|Nxb4+|Kc3|Nbd5+|Kc2|Qc6+|Kb2|O-O|Bxh6|Rb8+|Ka1|Nc3|Qc2|Nxb1|Qxc6
090c6ab3-4435-46ad-bba3-2f1417881e1b,63,32,Dimeji77,Ph3,h2h3,h2,h3,P,White,1r5k/7p/6pB/1r6/8/3P1P1P/P5P1/K2n4,0,0,0,0,0,0,7,6,5,2,0,0,1,0,0,1,0,2,24,31,1,2,3,0,0,1,0,0,0,2,3,0,0,3,0,0,1,0,0,0,1,1,1,2,3,0,0,0,5,1,1,5,Nf3|d5|e4|dxe4|Ng5|Be6|Nxe6|fxe6|Bc4|Qd7|d3|exd3|cxd3|Nf6|Nc3|Nc6|Bb5|a6|Ba4|Rb8|Rf1|b5|Nxb5|axb5|Bxb5|Rxb5|Rb1|Re5+|Kd2|g6|b4|Bh6+|Kc2|Nxb4+|Kc3|Nbd5+|Kc2|Qc6+|Kb2|O-O|Bxh6|Rb8+|Ka1|Nc3|Qc2|Nxb1|Qxc6|Reb5|Qxc7|Ra8|Qxe7|Nd5|Qxe6+|Kh8|Qe1|Ndc3|Qxc3+|Nxc3|Rd1|Nxd1|f3|Rab8|h3
