game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
f956ddc9-00f4-4df7-bfb2-3961190b4c21,47,24,necronomicion,Rxh7#,h5h7,h5,h7,R,White,r5rk/5p1R/p3bN2/1p6/5N2/1P6/2PP1P1P/2K3R1,1,1,0,0,1,0,10,7,5,3,0,0,0,1,2,0,2,2,23,18,2,4,1,1,0,1,1,0,5,4,1,3,0,3,5,0,0,0,0,0,1,2,1,3,0,0,0,0,1,4,1,10,e4|c5|b4|c4|Bxc4|e6|Nc3|d5|exd5|exd5|Nxd5|Bxb4|Nxb4|Qe7+|Qe2|Qxe2+|Nxe2|Nf6|Bb2|O-O|Bxf6|gxf6|O-O-O|Nc6|Nd5|Kg7|g4|Be6|Nef4|a6|Rhg1|b5|Bb3|Nd4|g5|Nxb3+|axb3|fxg5|Rxg5+|Kh6|Rh5+|Kg7|Rg1+|Kh8|Nf6|Rg8|Rxh7#
f956ddc9-00f4-4df7-bfb2-3961190b4c21,47,24,necronomicion,Rxh7#,h5h7,h5,h7,R,White,r5rk/5p1R/p3bN2/1p6/5N2/1P6/2PP1P1P/2K3R1,1,1,0,0,1,0,10,7,5,3,0,0,0,1,2,0,2,2,23,18,2,4,1,1,0,1,1,0,5,4,1,3,0,3,5,0,0,0,0,0,1,2,1,3,0,0,0,0,1,4,1,10,e4|c5|b4|c4|Bxc4|e6|Nc3|d5|exd5|exd5|Nxd5|Bxb4|Nxb4|Qe7+|Qe2|Qxe2+|Nxe2|Nf6|Bb2|O-O|Bxf6|gxf6|O-O-O|Nc6|Nd5|Kg7|g4|Be6|Nef4|a6|Rhg1|b5|Bb3|Nd4|g5|Nxb3+|axb3|fxg5|Rxg5+|Kh6|Rh5+|Kg7|Rg1+|Kh8|Nf6|Rg8|Rxh7#
5679b96e-04eb-417a-ae4f-6633b569d58b,57,29,ar123,Rc1,g1c1,g1,c1,R,White,2r2r1k/5p1p/p4N2/1p6/3p1P2/1P1P1PR1/P1p2K1P/2R5,0,0,0,0,0,0,10,9,6,6,0,0,0,0,1,0,2,2,23,20,1,3,4,1,0,1,0,0,5,2,8,1,0,3,0,0,0,1,0,1,1,1,2,3,0,1,0,1,1,1,2,10,e4|e5|d4|exd4|Qxd4|Nc6|Qd1|Nf6|Bd3|Bb4+|Bd2|Bxd2+|Qxd2|O-O|f4|Qe7|Qe2|d5|e5|Bg4|Nf3|Nd4|exf6|Nxf3+|gxf3|Qxe2+|Kxe2|Bh3|fxg7|Kxg7|Rg1+|Kh8|Nd2|c5|Rg3|Rae8+|Kf2|Be6|Rag1|c4|Be2|b5|b3|c3|Nf1|a6|Ne3|d4|Ng4|Bf5|Bd3|Bxd3|cxd3|Rc8|Nf6|c2|Rc1
5679b96e-04eb-417a-ae4f-6633b569d58b,89,45,ar123,Rxg8,g3g8,g3,g8,R,White,6R1/8/p4k2/2r2p2/1pNp1P2/1P1P1P2/P1K4P/4R3,0,0,0,0,0,0,10,6,6,4,0,0,0,0,1,0,2,1,30,20,1,3,3,2,0,0,0,1,5,2,3,4,0,0,0,5,0,0,0,2,2,2,0,0,0,0,0,2,6,1,0,0,e4|e5|d4|exd4|Qxd4|Nc6|Qd1|Nf6|Bd3|Bb4+|Bd2|Bxd2+|Qxd2|O-O|f4|Qe7|Qe2|d5|e5|Bg4|Nf3|Nd4|exf6|Nxf3+|gxf3|Qxe2+|Kxe2|Bh3|fxg7|Kxg7|Rg1+|Kh8|Nd2|c5|Rg3|Rae8+|Kf2|Be6|Rag1|c4|Be2|b5|b3|c3|Nf1|a6|Ne3|d4|Ng4|Bf5|Bd3|Bxd3|cxd3|Rc8|Nf6|c2|Rc1|Rc3|Ke2|Rfc8|Kd2|b4|Rh3|Kg7|Ne4|R3c6|Rg3+|Kh8|Rg2|f5|Ng5|h6|Nf7+|Kh7|Ne5|Rc5|Nc4|h5|Kxc2|h4|Re1|h3|Rg3|Rg8|Rxh3+|Kg7|Rg3+|Kf6|Rxg8
58ff7afa-f623-40c6-9acf-ca68df4f70ae,51,26,ChristmasTrees,Kh2,g1h2,g1,h2,K,White,5r1k/1p3p1p/1p2bN2/4p1Q1/2P1P3/3P2P1/6BK/3r4,0,0,0,0,0,0,8,9,4,5,1,0,1,1,1,0,0,2,21,20,0,2,2,2,1,1,0,0,0,3,2,2,9,3,0,0,1,0,0,0,1,2,3,2,5,0,0,0,1,4,3,5,g3|d5|Bg2|e6|d3|Nf6|Bd2|Nc6|Nf3|Bd6|b3|O-O|c4|dxc4|bxc4|Be5|Nc3|Nd4|Nxd4|Bxd4|Rb1|Ng4|O-O|Nxf2|Rxf2|Bxf2+|Kxf2|Qf6+|Kg1|e5|Nd5|Qe6|Nxc7|Qb6+|Rxb6|axb6|Nd5|Rxa2|e4|Be6|h4|g6|h5|gxh5|Qxh5|Rxd2|Qg5+|Kh8|Nf6|Rd1+|Kh2
58ff7afa-f623-40c6-9acf-ca68df4f70ae,55,28,ChristmasTrees,Qxf8#,h6f8,h6,f8,Q,White,5Q1k/1p3p1p/1p3N2/4pb2/2P1P3/3r2P1/6BK/8,1,1,0,0,1,0,7,8,3,5,1,0,1,1,1,0,0,1,26,21,0,2,1,2,0,1,0,1,0,3,1,2,0,3,0,9,0,0,1,0,2,1,3,1,0,0,5,0,4,1,3,0,g3|d5|Bg2|e6|d3|Nf6|Bd2|Nc6|Nf3|Bd6|b3|O-O|c4|dxc4|bxc4|Be5|Nc3|Nd4|Nxd4|Bxd4|Rb1|Ng4|O-O|Nxf2|Rxf2|Bxf2+|Kxf2|Qf6+|Kg1|e5|Nd5|Qe6|Nxc7|Qb6+|Rxb6|axb6|Nd5|Rxa2|e4|Be6|h4|g6|h5|gxh5|Qxh5|Rxd2|Qg5+|Kh8|Nf6|Rd1+|Kh2|Rxd3|Qh6|Bf5|Qxf8#
40ae0a3b-8c72-4909-a901-5021e121c8de,47,24,vsrihari1111,Rxd8,d1d8,d1,d8,R,White,3R1r1k/p1p2p1p/5b1N/8/6QP/1P6/q4PP1/2R3K1,0,0,0,0,0,0,9,8,4,4,1,1,0,1,1,0,2,1,18,13,2,2,1,2,0,1,0,1,5,2,1,10,0,3,0,5,0,1,0,0,0,1,4,2,0,9,0,0,0,3,4,5,e4|e5|Nf3|Nc6|Bc4|Nh6|d4|Nxd4|Nxe5|Nc6|Nxc6|bxc6|Bxh6|gxh6|O-O|Bg7|Qf3|O-O|c3|d5|exd5|cxd5|Bxd5|Rb8|b3|Bg4|Qxg4|Qxd5|Rd1|Qc6|Na3|Rbd8|h3|Qa6|Nc4|Kh8|Ne3|Bxc3|Rac1|Bd2|Nf5|Bg5|h4|Bf6|Nxh6|Qxa2|Rxd8
40ae0a3b-8c72-4909-a901-5021e121c8de,49,25,vsrihari1111,Nxf7#,h6f7,h6,f7,N,White,3r3k/p1p2N1p/5b2/8/6QP/1P6/q4PP1/2R3K1,1,1,0,0,1,0,8,7,4,3,1,1,0,1,1,0,1,1,19,18,2,2,1,2,0,0,1,0,5,2,1,10,0,0,3,0,0,1,0,0,0,1,3,2,0,9,0,0,0,3,3,5,e4|e5|Nf3|Nc6|Bc4|Nh6|d4|Nxd4|Nxe5|Nc6|Nxc6|bxc6|Bxh6|gxh6|O-O|Bg7|Qf3|O-O|c3|d5|exd5|cxd5|Bxd5|Rb8|b3|Bg4|Qxg4|Qxd5|Rd1|Qc6|Na3|Rbd8|h3|Qa6|Nc4|Kh8|Ne3|Bxc3|Rac1|Bd2|Nf5|Bg5|h4|Bf6|Nxh6|Qxa2|Rxd8|Rxd8|Nxf7#
e5ebefd4-741e-4a1e-930a-7aafb6a1dbc0,41,21,Damu104,Ph5,h4h5,h4,h5,P,White,r1b4k/ppp4p/2n1pNp1/3pP2P/3P4/2N3P1/PPP2K2/R6R,0,0,0,0,0,0,12,11,7,7,0,0,0,1,2,1,2,1,21,16,2,4,2,1,2,1,0,0,10,3,4,1,2,3,0,0,0,0,0,0,1,3,4,3,0,0,0,0,1,5,4,8,d4|Nf6|Bf4|e6|Nc3|Be7|e4|O-O|Qd2|Nc6|Nge2|Ng4|h3|Nxf2|Kxf2|Bh4+|g3|Bf6|Bh6|d5|e5|Be7|Bxg7|Kxg7|Nf4|Bg5|h4|Bh6|Nh5+|Kh8|Qxh6|Rg8|Bd3|Rg6|Bxg6|Qg8|Nf6|Qxg6|Qxg6|fxg6|h5
e5ebefd4-741e-4a1e-930a-7aafb6a1dbc0,131,66,Damu104,Rh8#,f8h8,f8,h8,R,White,7R/8/4K2k/8/8/8/PP6/6R1,1,1,0,0,1,0,5,1,2,0,0,0,0,0,0,0,2,0,39,27,1,2,0,0,0,1,0,1,5,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,d4|Nf6|Bf4|e6|Nc3|Be7|e4|O-O|Qd2|Nc6|Nge2|Ng4|h3|Nxf2|Kxf2|Bh4+|g3|Bf6|Bh6|d5|e5|Be7|Bxg7|Kxg7|Nf4|Bg5|h4|Bh6|Nh5+|Kh8|Qxh6|Rg8|Bd3|Rg6|Bxg6|Qg8|Nf6|Qxg6|Qxg6|fxg6|h5|g5|Rh2|Nxd4|Rah1|Nxc2|Ne2|Nb4|Nf4|Kg7|Ne8+|Kf7|Nxe6|Kxe8|Nxg5|h6|Kf3|Bf5|Kf4|Be4|Nxe4|dxe4|Kxe4|Kd7|Kf5|Rf8+|Kg6|Nd5|Kxh6|Ne7|Kg7|Rg8+|Kf6|Rxg3|h6|Ng8+|Kf7|Nxh6+|Rxh6|Rf3+|Kg8|Rg3+|Kf7|Rf3+|Rf6|Re3|Rd1+|Kc8|Re6|Rf3+|Ke7|b6|Rd8+|Kb7|Rd7|Rf2|Red6|Rc2|e6|Re2|Kf7|Rxe6|Rxe6|Ka6|Ree7|c5|Rxa7+|Kb5|Ra8|Kb4|Rb7|b5|Rab8|Kc4|Rxb5|Kd3|Rxc5|Ke2|Rd8|Kf3|Re5|Kf2|Ke6|Kf3|Rf8+|Kg4|Re1|Kg5|Rg1+|Kh6|Rh8#
