game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
229c2e8b-0404-40bb-aab0-a74306182672,60,30,BocanaTacople,pf5,f6f5,f6,f5,P,Black,3r1q1k/2prb2p/3p3N/pp1Ppp1P/4P1Q1/P2P4/1P3PR1/6RK,0,0,0,0,0,0,12,12,7,7,1,1,0,1,1,0,2,2,10,10,2,3,2,2,2,1,0,0,5,7,2,10,2,3,0,0,0,0,0,0,4,1,4,3,0,0,0,0,4,1,10,14,c4|e5|Nc3|Nc6|g3|Nf6|Bg2|Bc5|a3|a5|e3|O-O|h3|Re8|Nge2|Bf8|d3|d6|O-O|Be6|Nd5|Bxd5|cxd5|Ne7|e4|b5|Bg5|Nd7|Rc1|Qb8|h4|f6|Bh3|Rd8|Be3|f5|Bg5|Nf6|Bxf5|Nxf5|Bxf6|Nxg3|Nxg3|gxf6|Kh1|Rd7|Nf5|Kh8|Rg1|Qe8|h5|Rad8|Qg4|Qf7|Rg2|Be7|Nh6|Qf8|Rcg1|f5
229c2e8b-0404-40bb-aab0-a74306182672,66,33,BocanaTacople,Rxg8,d8g8,d8,g8,R,Black,6rk/2pr3p/3p1b1N/pp1PpP1P/8/P2P4/1P3P2/6RK,0,0,0,0,0,0,10,10,7,6,0,0,0,1,1,0,1,2,20,24,2,2,2,0,3,1,0,0,5,2,2,0,3,3,0,0,0,0,0,0,3,2,3,2,0,0,0,0,3,4,7,5,c4|e5|Nc3|Nc6|g3|Nf6|Bg2|Bc5|a3|a5|e3|O-O|h3|Re8|Nge2|Bf8|d3|d6|O-O|Be6|Nd5|Bxd5|cxd5|Ne7|e4|b5|Bg5|Nd7|Rc1|Qb8|h4|f6|Bh3|Rd8|Be3|f5|Bg5|Nf6|Bxf5|Nxf5|Bxf6|Nxg3|Nxg3|gxf6|Kh1|Rd7|Nf5|Kh8|Rg1|Qe8|h5|Rad8|Qg4|Qf7|Rg2|Be7|Nh6|Qf8|Rcg1|f5|exf5|Bf6|Qg8+|Qxg8|Rxg8+|Rxg8
af492644-2f0b-48ea-8a9f-ece77d5b41bc,64,32,gabrielorion,Rb7,c7b7,c7,b7,R,Black,4r2k/1r3p1p/5p1N/8/p3p3/P5RP/5PP1/4R1K1,0,0,0,0,0,0,8,8,4,5,0,0,0,0,1,0,2,2,24,22,2,2,3,0,0,1,0,0,5,2,7,0,0,3,0,0,0,0,0,2,0,1,3,2,0,0,0,2,0,1,7,5,Nf3|d5|b3|c6|Bb2|Bf5|e3|Bg6|d4|Nd7|Bd3|e6|O-O|Bd6|Qe2|Ngf6|Nbd2|O-O|e4|Nxe4|Nxe4|dxe4|Bxe4|Bxe4|Qxe4|Nf6|Qe2|Re8|c4|a5|a3|a4|b4|Qd7|Rad1|Bc7|Rfe1|b5|Qc2|Rad8|d5|cxd5|Bxf6|gxf6|cxb5|Qxb5|Qxc7|e5|Qc5|Qxc5|bxc5|d4|Nxd4|Rd5|Nf5|Rxc5|Rd3|e4|Rg3+|Kh8|Nh6|Rc7|h3|Rb7
af492644-2f0b-48ea-8a9f-ece77d5b41bc,66,33,gabrielorion,Rf8,e8f8,e8,f8,R,Black,5r1k/1r3p1p/5p1N/8/p3p3/P5RP/5PPK/4R3,0,0,0,0,0,0,8,8,4,5,0,0,0,0,1,0,2,2,24,22,1,3,3,0,0,1,0,0,5,2,7,0,0,3,0,0,0,0,0,2,0,1,3,2,0,0,0,2,0,1,7,5,Nf3|d5|b3|c6|Bb2|Bf5|e3|Bg6|d4|Nd7|Bd3|e6|O-O|Bd6|Qe2|Ngf6|Nbd2|O-O|e4|Nxe4|Nxe4|dxe4|Bxe4|Bxe4|Qxe4|Nf6|Qe2|Re8|c4|a5|a3|a4|b4|Qd7|Rad1|Bc7|Rfe1|b5|Qc2|Rad8|d5|cxd5|Bxf6|gxf6|cxb5|Qxb5|Qxc7|e5|Qc5|Qxc5|bxc5|d4|Nxd4|Rd5|Nf5|Rxc5|Rd3|e4|Rg3+|Kh8|Nh6|Rc7|h3|Rb7|Kh2|Rf8
63a75d1f-208d-4bb5-aa05-34509fc6b173,42,21,SeunMay,Rg8,f8g8,f8,g8,R,Black,r1b3rk/pp3p1p/2p2R2/4p3/4P2P/2PB2Q1/q5P1/1R5K,0,0,0,0,0,0,9,11,4,6,1,1,1,1,0,0,2,2,11,13,2,1,3,2,0,1,0,0,5,1,13,2,0,5,0,0,0,1,0,0,1,1,4,4,0,9,0,0,1,1,4,13,d4|e5|dxe5|Nc6|e4|Qe7|f4|Qb4+|Nc3|d6|Nf3|dxe5|f5|Nf6|Bd3|Nd4|O-O|Bc5|Kh1|Nxf3|Qxf3|O-O|Bg5|Be7|Qg3|Kh8|h4|Qxb2|Bxf6|Bxf6|Nd5|Bd8|c3|c6|Rab1|Qxa2|f6|gxf6|Nxf6|Bxf6|Rxf6|Rg8
63a75d1f-208d-4bb5-aa05-34509fc6b173,56,28,SeunMay,Qxg2#,a2g2,a2,g2,Q,Black,6rk/p4Rrp/2p2Q2/4p2P/4P3/2PB4/6q1/7K,1,1,0,0,1,0,7,8,3,4,1,1,1,0,0,0,1,2,16,19,1,0,2,1,1,1,1,0,0,0,4,1,1,9,5,0,0,1,0,0,1,1,3,2,0,9,0,0,1,1,7,5,d4|e5|dxe5|Nc6|e4|Qe7|f4|Qb4+|Nc3|d6|Nf3|dxe5|f5|Nf6|Bd3|Nd4|O-O|Bc5|Kh1|Nxf3|Qxf3|O-O|Bg5|Be7|Qg3|Kh8|h4|Qxb2|Bxf6|Bxf6|Nd5|Bd8|c3|c6|Rab1|Qxa2|f6|gxf6|Nxf6|Bxf6|Rxf6|Rg8|Qf3|Bg4|Qf1|Be6|Rxb7|Rg3|Rfxf7|Bxf7|Rxf7|Rag8|Qf6+|R3g7|h5|Qxg2#
123f67f0-41c9-4490-ae41-88bb1ab02cd8,38,19,zirogt,Rg8,f8g8,f8,g8,R,Black,r5rk/1pp2p1p/2n1bN1Q/1p3p2/1P6/P3P3/2PP2PP/R5K1,0,0,0,0,0,0,11,11,7,6,1,0,0,1,1,1,1,2,17,15,2,4,2,1,0,2,0,0,5,4,2,1,0,12,0,0,0,0,0,0,2,2,4,3,0,0,0,0,2,6,4,10,e3|e5|a3|d5|b4|Nf6|Bb2|Bd6|Nf3|O-O|Nxe5|Bxe5|Bxe5|Nc6|Bb2|d4|Bb5|dxe3|fxe3|Bd7|O-O|a6|Bxf6|Qxf6|Rxf6|gxf6|Qh5|axb5|Nc3|f5|Nd5|Be6|Nf6+|Kg7|Qg5+|Kh8|Qh6|Rg8
123f67f0-41c9-4490-ae41-88bb1ab02cd8,38,19,zirogt,Rg8,f8g8,f8,g8,R,Black,r5rk/1pp2p1p/2n1bN1Q/1p3p2/1P6/P3P3/2PP2PP/R5K1,0,0,0,0,0,0,11,11,7,6,1,0,0,1,1,1,1,2,17,15,2,4,2,1,0,2,0,0,5,4,2,1,0,12,0,0,0,0,0,0,2,2,4,3,0,0,0,0,2,6,4,10,e3|e5|a3|d5|b4|Nf6|Bb2|Bd6|Nf3|O-O|Nxe5|Bxe5|Bxe5|Nc6|Bb2|d4|Bb5|dxe3|fxe3|Bd7|O-O|a6|Bxf6|Qxf6|Rxf6|gxf6|Qh5|axb5|Nc3|f5|Nd5|Be6|Nf6+|Kg7|Qg5+|Kh8|Qh6|Rg8
0b6db9dc-19a7-4bf4-96cc-d91d7619c86d,68,34,atracador77,Bxf6,g7f6,g7,f6,B,Black,7k/5p1p/2b1pb2/1p1pPp1Q/3p4/qB1P3P/2P3PK/8,0,0,0,0,0,0,8,11,5,7,1,1,1,2,0,0,0,0,17,22,0,3,3,0,2,0,0,0,0,2,5,0,10,0,0,0,0,0,1,1,3,3,2,1,0,0,9,1,3,7,2,0,e4|c5|Nc3|Nc6|Bb5|Nd4|Nf3|g6|O-O|Bg7|Ba4|a6|Nxd4|cxd4|Ne2|e6|d3|Ne7|Qe1|O-O|f3|d5|Bd2|b5|Bb3|Bb7|a4|Re8|Ba5|Qd6|Bb4|Qc6|axb5|axb5|Qd2|Qd7|h3|Rxa1|Rxa1|Ra8|Rxa8+|Bxa8|Bxe7|Qxe7|Qa5|Bc6|Qb6|Qb7|Qd8+|Bf8|e5|Qa7|f4|Qa1+|Kh2|Qxb2|f5|gxf5|Nf4|Qc1|Nh5|Qa3|Qg5+|Kh8|Nf6|Bg7|Qh5|Bxf6
0b6db9dc-19a7-4bf4-96cc-d91d7619c86d,106,53,atracador77,Qe3,c1e3,c1,e3,Q,Black,7k/5p1p/2b1pP1Q/1p1p2P1/3p4/1B1Pq3/2P3K1/8,0,0,0,0,0,0,7,9,4,6,1,1,1,1,0,0,0,0,21,23,0,2,2,0,1,2,0,0,0,1,4,0,1,10,0,0,0,0,1,1,2,2,2,1,0,0,9,1,2,4,2,0,e4|c5|Nc3|Nc6|Bb5|Nd4|Nf3|g6|O-O|Bg7|Ba4|a6|Nxd4|cxd4|Ne2|e6|d3|Ne7|Qe1|O-O|f3|d5|Bd2|b5|Bb3|Bb7|a4|Re8|Ba5|Qd6|Bb4|Qc6|axb5|axb5|Qd2|Qd7|h3|Rxa1|Rxa1|Ra8|Rxa8+|Bxa8|Bxe7|Qxe7|Qa5|Bc6|Qb6|Qb7|Qd8+|Bf8|e5|Qa7|f4|Qa1+|Kh2|Qxb2|f5|gxf5|Nf4|Qc1|Nh5|Qa3|Qg5+|Kh8|Nf6|Bg7|Qh5|Bxf6|exf6|Qf8|g4|fxg4|hxg4|Qg8|g5|Qg6|Qh4|Qf5|Qh6|Qf4+|Kg2|Qg4+|Kf2|Qf4+|Ke2|Qg4+|Kd2|Qf4+|Kd1|Qf1+|Kd2|Qf4+|Ke2|Qg4+|Ke1|Qg1+|Kd2|Qe3+|Kd1|Qg1+|Ke2|Qe3+|Kf1|Qc1+|Kg2|Qe3
