game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
d33e6a2d-c72f-4bb1-8b1d-42e48ee4c702,25,13,Echo1999,Kb2,b1b2,b1,b2,K,White,rn2k2r/pp3ppp/2p1p3/q7/3PB1b1/2n1BN2/PKPQ1PPP/3R3R,0,0,0,0,0,0,13,14,6,7,1,1,2,1,1,2,2,2,4,5,2,7,2,2,0,0,0,0,10,14,6,4,0,0,0,0,0,0,1,1,1,2,5,4,0,0,3,3,9,2,5,13,e4|d5|exd5|Qxd5|Nc3|Qd8|d4|Nf6|Nf3|Bg4|Be3|c6|Bd3|e6|Qd2|Bb4|O-O-O|Nd5|Kb1|Qa5|Be4|Bxc3|bxc3|Nxc3+|Kb2
d33e6a2d-c72f-4bb1-8b1d-42e48ee4c702,26,13,IJustWantToImprove,qb4,a5b4,a5,b4,Q,Black,rn2k2r/pp3ppp/2p1p3/8/1q1PB1b1/2n1BN2/PKPQ1PPP/3R3R,1,0,0,0,0,0,13,14,6,7,1,1,2,1,1,2,2,2,4,5,2,7,2,2,0,0,0,0,10,14,6,4,0,0,0,0,0,0,1,2,0,2,5,4,0,0,3,12,0,2,5,13,e4|d5|exd5|Qxd5|Nc3|Qd8|d4|Nf6|Nf3|Bg4|Be3|c6|Bd3|e6|Qd2|Bb4|O-O-O|Nd5|Kb1|Qa5|Be4|Bxc3|bxc3|Nxc3+|Kb2|Qb4+
d33e6a2d-c72f-4bb1-8b1d-42e48ee4c702,27,14,Echo1999,Ka1,b2a1,b2,a1,K,White,rn2k2r/pp3ppp/2p1p3/8/1q1PB1b1/2n1BN2/P1PQ1PPP/K2R3R,0,0,0,0,0,0,13,14,6,7,1,1,2,1,1,2,2,2,4,5,3,6,2,2,0,0,0,0,10,14,6,4,0,0,0,0,0,0,1,2,0,2,5,4,0,0,3,12,0,2,5,13,e4|d5|exd5|Qxd5|Nc3|Qd8|d4|Nf6|Nf3|Bg4|Be3|c6|Bd3|e6|Qd2|Bb4|O-O-O|Nd5|Kb1|Qa5|Be4|Bxc3|bxc3|Nxc3+|Kb2|Qb4+|Ka1
d33e6a2d-c72f-4bb1-8b1d-42e48ee4c702,28,14,IJustWantToImprove,qa3,b4a3,b4,a3,Q,Black,rn2k2r/pp3ppp/2p1p3/8/3PB1b1/q1n1BN2/P1PQ1PPP/K2R3R,0,0,0,0,0,0,13,14,6,7,1,1,2,1,1,2,2,2,4,5,3,6,2,2,0,0,0,0,10,14,6,4,0,0,0,0,0,0,2,1,0,2,5,4,0,0,12,3,0,2,5,13,e4|d5|exd5|Qxd5|Nc3|Qd8|d4|Nf6|Nf3|Bg4|Be3|c6|Bd3|e6|Qd2|Bb4|O-O-O|Nd5|Kb1|Qa5|Be4|Bxc3|bxc3|Nxc3+|Kb2|Qb4+|Ka1|Qa3
25673333-24db-447b-999d-63d4cb6629ba,50,25,Sulfamethoxazolum,rc8,b8c8,b8,c8,R,Black,2r4k/5pp1/2pb1p2/p7/q2P3p/nP5P/P2R1PP1/K1B4R,0,0,0,0,0,0,10,11,6,6,0,1,1,1,0,1,2,1,13,20,3,4,2,1,0,0,0,0,8,8,2,1,0,0,0,0,0,0,1,2,1,3,2,2,0,0,3,10,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8
25673333-24db-447b-999d-63d4cb6629ba,51,26,Psic0analista,Pba4,b3a4,b3,a4,P,White,2r4k/5pp1/2pb1p2/p7/P2P3p/n6P/P2R1PP1/K1B4R,0,0,0,0,0,0,10,10,6,6,0,0,1,1,0,1,2,1,22,20,3,4,1,2,0,0,0,0,8,8,1,2,0,0,0,0,0,0,1,1,1,3,2,2,0,0,3,1,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4
25673333-24db-447b-999d-63d4cb6629ba,52,26,Sulfamethoxazolum,rb8,c8b8,c8,b8,R,Black,1r5k/5pp1/2pb1p2/p7/P2P3p/n6P/P2R1PP1/K1B4R,0,0,0,0,0,0,10,10,6,6,0,0,1,1,0,1,2,1,22,20,3,4,1,2,0,0,0,0,8,8,1,2,0,0,0,0,0,0,1,1,1,3,2,2,0,0,3,1,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8
25673333-24db-447b-999d-63d4cb6629ba,53,27,Psic0analista,Ba3,c1a3,c1,a3,B,White,1r5k/5pp1/2pb1p2/p7/P2P3p/B6P/P2R1PP1/K6R,0,0,0,0,0,0,10,9,6,6,0,0,1,1,0,0,2,1,25,20,2,4,2,2,0,0,0,0,5,8,4,2,0,0,0,0,0,0,0,1,1,3,2,2,0,0,0,1,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3
25673333-24db-447b-999d-63d4cb6629ba,54,27,Sulfamethoxazolum,ba3,d6a3,d6,a3,B,Black,1r5k/5pp1/2p2p2/p7/P2P3p/b6P/P2R1PP1/K6R,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,2,4,1,2,0,0,0,0,5,8,1,2,0,0,0,0,0,0,1,1,1,2,2,2,0,0,3,1,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3
25673333-24db-447b-999d-63d4cb6629ba,55,28,Psic0analista,Rb1,h1b1,h1,b1,R,White,1r5k/5pp1/2p2p2/p7/P2P3p/b6P/P2R1PP1/KR6,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,2,4,1,2,0,0,0,0,5,8,1,2,0,0,0,0,0,0,1,1,1,2,2,2,0,0,3,1,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1
25673333-24db-447b-999d-63d4cb6629ba,56,28,Sulfamethoxazolum,rd8,b8d8,b8,d8,R,Black,3r3k/5pp1/2p2p2/p7/P2P3p/b6P/P2R1PP1/KR6,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,2,4,1,2,0,0,0,0,5,8,1,2,0,0,0,0,0,0,1,1,1,2,2,2,0,0,3,1,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8
25673333-24db-447b-999d-63d4cb6629ba,57,29,Psic0analista,Rb3,b1b3,b1,b3,R,White,3r3k/5pp1/2p2p2/p7/P2P3p/bR5P/P2R1PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,4,2,2,0,0,0,0,0,8,6,2,0,0,0,0,0,0,1,1,1,2,2,2,0,0,3,1,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3
25673333-24db-447b-999d-63d4cb6629ba,58,29,Sulfamethoxazolum,bb4,a3b4,a3,b4,B,Black,3r3k/5pp1/2p2p2/p7/Pb1P3p/1R5P/P2R1PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,4,2,2,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,2,1,2,2,2,0,0,0,4,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4
25673333-24db-447b-999d-63d4cb6629ba,59,30,Psic0analista,Rdd3,d2d3,d2,d3,R,White,3r3k/5pp1/2p2p2/p7/Pb1P3p/1R1R3P/P4PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,3,3,2,0,0,0,0,0,3,11,2,0,0,0,0,0,0,0,2,1,2,2,2,0,0,0,4,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3
25673333-24db-447b-999d-63d4cb6629ba,60,30,Sulfamethoxazolum,kh7,h8h7,h8,h7,K,Black,3r4/5ppk/2p2p2/p7/Pb1P3p/1R1R3P/P4PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,3,3,2,0,0,0,0,0,3,11,2,0,0,0,0,0,0,0,2,1,2,3,1,0,0,0,4,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7
25673333-24db-447b-999d-63d4cb6629ba,61,31,Psic0analista,Pa3,a2a3,a2,a3,P,White,3r4/5ppk/2p2p2/p7/Pb1P3p/PR1R3P/5PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,2,4,2,0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,2,1,2,3,1,0,0,0,4,1,2,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3
25673333-24db-447b-999d-63d4cb6629ba,62,31,Sulfamethoxazolum,bd6,b4d6,b4,d6,B,Black,3r4/5ppk/2pb1p2/p7/P2P3p/PR1R3P/5PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,2,4,2,0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,1,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3|Bd6
25673333-24db-447b-999d-63d4cb6629ba,63,32,Psic0analista,Rbc3,b3c3,b3,c3,R,White,3r4/5ppk/2pb1p2/p7/P2P3p/P1RR3P/5PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,2,4,2,0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,1,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3|Bd6|Rbc3
25673333-24db-447b-999d-63d4cb6629ba,64,32,Sulfamethoxazolum,rc8,d8c8,d8,c8,R,Black,2r5/5ppk/2pb1p2/p7/P2P3p/P1RR3P/5PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,2,4,2,0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,1,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3|Bd6|Rbc3|Rc8
25673333-24db-447b-999d-63d4cb6629ba,65,33,Psic0analista,Pd5,d4d5,d4,d5,P,White,2r5/5ppk/2pb1p2/p2P4/P6p/P1RR3P/5PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,2,4,1,1,0,0,0,0,2,12,1,1,0,0,0,0,0,0,1,1,3,3,1,0,0,0,1,1,5,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3|Bd6|Rbc3|Rc8|d5
25673333-24db-447b-999d-63d4cb6629ba,66,33,Sulfamethoxazolum,pc5,c6c5,c6,c5,P,Black,2r5/5ppk/3b1p2/p1pP4/P6p/P1RR3P/5PP1/K7,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,1,2,4,1,1,0,0,0,0,2,12,1,1,0,0,0,0,0,0,1,2,2,3,1,0,0,0,1,2,4,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3|Bd6|Rbc3|Rc8|d5|c5
25673333-24db-447b-999d-63d4cb6629ba,67,34,Psic0analista,Ka2,a1a2,a1,a2,K,White,2r5/5ppk/3b1p2/p1pP4/P6p/P1RR3P/K4PP1/8,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,0,3,4,1,1,0,0,0,0,2,12,1,1,0,0,0,0,0,0,1,2,2,3,1,0,0,0,1,2,4,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3|Bd6|Rbc3|Rc8|d5|c5|Ka2
25673333-24db-447b-999d-63d4cb6629ba,68,34,Sulfamethoxazolum,kg6,h7g6,h7,g6,K,Black,2r5/5pp1/3b1pk1/p1pP4/P6p/P1RR3P/K4PP1/8,0,0,0,0,0,0,9,9,6,6,0,0,0,1,0,0,2,1,25,23,0,3,4,1,1,0,0,0,0,2,12,1,1,0,0,0,0,0,0,1,2,3,2,1,0,0,0,1,2,4,2,5,e4|c6|d4|d5|Nc3|dxe4|Nxe4|Nf6|Nxf6+|exf6|c3|Bd6|Bd3|O-O|Qc2|h5|Ne2|h4|h3|Qc7|Be3|Nd7|O-O-O|b5|Kb1|a5|Bh7+|Kh8|Bf5|Nb6|Bxc8|Rfxc8|Qf5|b4|Qg4|bxc3|Nxc3|Nc4|Bc1|Rab8|Ka1|Qb6|b3|Qb4|Na4|Na3|Rd2|Qxa4|Qxc8+|Rxc8|bxa4|Rb8|Bxa3|Bxa3|Rb1|Rd8|Rb3|Bb4|Rdd3|Kh7|a3|Bd6|Rbc3|Rc8|d5|c5|Ka2|Kg6
