Section,Original File,Most common start notation 1,Most common start notation freq 1,Most common start notation rel freq 1,Most common start notation 2,Most common start notation freq 2,Most common start notation rel freq 2,Most common end notation 1,Most common end notation freq 1,Most common end notation rel freq 1,Most common end notation 2,Most common end notation freq 2,Most common end notation rel freq 2
White Section
White,Fen_1_BL_W_modified.csv,Ka1,6,0.2727272727272727,Rc3,1,0.045454545454545456,Nd4,2,0.09090909090909091,Qb1,1,0.045454545454545456
White,Fen_1_BR_W_modified.csv,Kh1,19,0.09405940594059406,Kg2,13,0.06435643564356436,Rg1,11,0.054455445544554455,Kh1,6,0.0297029702970297
White,Fen_1_WL_W_modified.csv,Rb1,2,0.07692307692307693,Kd3,2,0.07692307692307693,Rb8,5,0.19230769230769232,Qb7,2,0.07692307692307693
White,Fen_1_WR_W_modified.csv,Qg5,16,0.09876543209876543,Nf6,9,0.05555555555555555,Nf7,8,0.04938271604938271,Qg7,6,0.037037037037037035
White,Fen_2_BL_W_modified.csv,Ka1,5,0.19230769230769232,Pg4,2,0.07692307692307693,Pgf5,2,0.07692307692307693,Ka1,2,0.07692307692307693
White,Fen_2_BR_W_modified.csv,Kh1,22,0.12222222222222222,Kg2,8,0.044444444444444446,Kh1,5,0.027777777777777776,Rg1,4,0.022222222222222223
White,Fen_2_WL_W_modified.csv,Rb1,5,0.16666666666666666,Kh3,2,0.06666666666666667,Rb8,2,0.06666666666666667,Nc7,2,0.06666666666666667
White,Fen_2_WR_W_modified.csv,Qg5,15,0.07281553398058252,Nh6,9,0.043689320388349516,Nf7,7,0.03398058252427184,Qg7,6,0.02912621359223301
White,Fen_3_BL_W_modified.csv,Ka1,4,0.2,Kb2,1,0.05,Ka1,1,0.05,Pd7,1,0.05
White,Fen_3_BR_W_modified.csv,Kh1,6,0.058823529411764705,Kg2,5,0.049019607843137254,Kh1,4,0.0392156862745098,Rg1,4,0.0392156862745098
White,Fen_3_WL_W_modified.csv,Re4,2,0.1111111111111111,Nd4,2,0.1111111111111111,Re3,2,0.1111111111111111,Qb7,2,0.1111111111111111
White,Fen_3_WR_W_modified.csv,Rg1,7,0.04487179487179487,Qh5,6,0.038461538461538464,Rg8,6,0.038461538461538464,Qh6,5,0.03205128205128205

Black Section
Black,Fen_1_BL_B_modified.csv,Qb4,3,0.13636363636363635,Rb8,3,0.13636363636363635,Rb1,4,0.18181818181818182,Qc3,1,0.045454545454545456
Black,Fen_1_BR_B_modified.csv,Qg4,19,0.09405940594059406,Nd4,11,0.054455445544554455,Rg1,12,0.0594059405940594,Qg2,10,0.04950495049504951
Black,Fen_1_WL_B_modified.csv,Ka8,5,0.19230769230769232,Rf2,2,0.07692307692307693,Ng4,2,0.07692307692307693,ph5,2,0.07692307692307693
Black,Fen_1_WR_B_modified.csv,Kh8,26,0.16049382716049382,Kg7,9,0.05555555555555555,Rg8,4,0.024691358024691357,Nf6,3,0.018518518518518517
Black,Fen_2_BL_B_modified.csv,Rb8,3,0.11538461538461539,Rb7,2,0.07692307692307693,Rb1,4,0.15384615384615385,Rc1,1,0.038461538461538464
Black,Fen_2_BR_B_modified.csv,Qg4,10,0.05555555555555555,Nh3,6,0.03333333333333333,Rg1,6,0.03333333333333333,Qh2,5,0.027777777777777776
Black,Fen_2_WL_B_modified.csv,Ka8,6,0.2,Rd5,2,0.06666666666666667,Rd8,2,0.06666666666666667,Bb3,2,0.06666666666666667
Black,Fen_2_WR_B_modified.csv,Kh8,29,0.1407766990291262,Kg7,13,0.06310679611650485,Rg8,7,0.03398058252427184,Kh8,4,0.019417475728155338
Black,Fen_3_BL_B_modified.csv,Nc3,2,0.1,Qb4,1,0.05,Qa2,2,0.1,Qa3,1,0.05
Black,Fen_3_BR_B_modified.csv,Nf3,6,0.058823529411764705,Qg4,6,0.058823529411764705,Qg1,3,0.029411764705882353,Nh3,3,0.029411764705882353
Black,Fen_3_WL_B_modified.csv,pf6,2,0.1111111111111111,Bf6,2,0.1111111111111111,Ne3,2,0.1111111111111111,Rgd8,2,0.1111111111111111
Black,Fen_3_WR_B_modified.csv,Kh8,17,0.10897435897435898,Kg7,6,0.038461538461538464,Kh8,6,0.038461538461538464,Rg7,3,0.019230769230769232
