game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
cf568be6-2ecc-4fe1-a543-a7a3767cdc27,25,13,Da1201,Kg2,g1g2,g1,g2,K,White,2r1kb1r/pp3pp1/n1pp1q2/4p3/4P3/1PNP1N1n/P1P2PKP/R1BQ1R2,0,0,0,0,0,0,14,14,7,7,1,1,1,1,2,2,2,2,4,4,4,5,4,1,0,0,0,0,22,4,8,1,0,0,0,0,0,0,1,0,1,4,4,4,0,0,3,0,1,14,4,13,e4|e5|Nf3|Qf6|Nc3|c6|d3|h6|g4|Ne7|g5|hxg5|Nxg5|Ng6|Bh3|Na6|b3|d6|Bxc8|Rxc8|O-O|Nf4|Nf3|Nh3+|Kg2
cf568be6-2ecc-4fe1-a543-a7a3767cdc27,43,22,Da1201,Qxc8,h3c8,h3,c8,Q,White,2Q5/pp2bkp1/n1pp1pq1/4p3/4P3/BPNP4/P1P2r1P/R6K,0,0,0,0,0,0,11,12,6,7,1,1,1,1,1,1,1,1,12,13,2,3,4,1,0,0,0,1,5,3,8,1,0,0,0,9,0,1,0,0,1,5,5,0,0,5,0,0,1,15,6,0,e4|e5|Nf3|Qf6|Nc3|c6|d3|h6|g4|Ne7|g5|hxg5|Nxg5|Ng6|Bh3|Na6|b3|d6|Bxc8|Rxc8|O-O|Nf4|Nf3|Nh3+|Kg2|Qg6+|Kh1|f6|Ba3|Be7|Rg1|Nxg1|Nxg1|Kf7|Nf3|Rh3|Qf1|Rxf3|Qg2|Rf4|Qh3|Rxf2|Qxc8
367f518e-c494-4a67-9d0d-c7eaaca02aed,55,28,Kellzinho,Qd6,g3d6,g3,d6,Q,White,8/pp2r3/2pQ4/2N2p2/P3p3/2P1Pn2/1Pk2PKP/R1B2R2,0,0,0,0,0,0,12,8,6,5,1,0,1,0,1,1,2,1,26,8,3,4,2,1,1,1,0,0,13,3,2,1,3,9,0,0,0,1,1,1,1,1,3,0,0,0,3,1,1,1,7,0,d4|d5|e3|Bf5|Nf3|Nf6|Bb5+|c6|Bd3|Ne4|O-O|Nd7|Ng5|g6|Bxe4|dxe4|g4|h6|gxf5|gxf5|Qh5|hxg5|Qxh8|e5|dxe5|g4|Na3|Qe7|Nc4|Qg5|Nd6+|Kd8|Nxf7+|Kc7|Nxg5|Re8|Nh7|Nxe5|Nxf8|Nf3+|Kg2|g3|Qg7+|Kb6|Nd7+|Kb5|Qxg3|Re7|a4+|Kb4|c3+|Kb3|Nc5+|Kc2|Qd6
367f518e-c494-4a67-9d0d-c7eaaca02aed,59,30,Kellzinho,Qd1#,d6d1,d6,d1,Q,White,8/pp5r/2p5/2N2p2/P3p3/2P1Pn2/1Pk2P1P/R1BQ1R1K,1,1,0,0,1,0,12,8,6,5,1,0,1,0,1,1,2,1,26,8,5,3,2,1,1,0,0,0,22,3,2,1,3,0,0,0,0,1,1,1,1,1,3,0,0,0,3,1,1,1,7,0,d4|d5|e3|Bf5|Nf3|Nf6|Bb5+|c6|Bd3|Ne4|O-O|Nd7|Ng5|g6|Bxe4|dxe4|g4|h6|gxf5|gxf5|Qh5|hxg5|Qxh8|e5|dxe5|g4|Na3|Qe7|Nc4|Qg5|Nd6+|Kd8|Nxf7+|Kc7|Nxg5|Re8|Nh7|Nxe5|Nxf8|Nf3+|Kg2|g3|Qg7+|Kb6|Nd7+|Kb5|Qxg3|Re7|a4+|Kb4|c3+|Kb3|Nc5+|Kc2|Qd6|Rg7+|Kh1|Rh7|Qd1#
6d9430ac-3b5b-4b59-ad00-9068d10e0d9f,49,25,CEOAmaterasu,Nxg8,h6g8,h6,g8,N,White,3R2N1/pkp4p/1p1b1pq1/4p3/1P2Pn2/P3NB1P/2P2P1P/3R3K,0,0,0,0,0,0,13,10,7,6,0,1,1,1,2,1,2,0,18,13,2,3,4,2,0,0,0,2,5,3,8,2,0,0,0,8,0,0,0,1,1,4,4,0,0,0,0,3,1,14,3,0,e4|e5|Nc3|d6|Nf3|Nh6|d3|Na6|Bxh6|gxh6|Qd2|Bd7|Be2|Qe7|d4|Nb4|dxe5|dxe5|O-O|O-O-O|a3|Nc6|Rad1|f6|Nd5|Qg7|b4|Bh3|Ne3|Rxd2|Rxd2|Rg8|Nh4|Ne7|Rfd1|b6|Rd8+|Kb7|Bf3|Ng6|Nhf5|Qf7|gxh3|Nf4+|Kh1|Bd6|Nxh6|Qg6|Nxg8
6d9430ac-3b5b-4b59-ad00-9068d10e0d9f,51,26,CEOAmaterasu,Nf5,e3f5,e3,f5,N,White,3R2N1/pkp4p/1p1b1pq1/4pN2/1P2P3/P4B1n/2P2P1P/3R3K,0,0,0,0,0,0,12,10,6,6,0,1,1,1,2,1,2,0,18,14,2,3,2,2,1,0,0,2,5,3,4,2,3,0,0,8,0,0,1,0,1,4,4,0,0,0,3,0,1,14,3,0,e4|e5|Nc3|d6|Nf3|Nh6|d3|Na6|Bxh6|gxh6|Qd2|Bd7|Be2|Qe7|d4|Nb4|dxe5|dxe5|O-O|O-O-O|a3|Nc6|Rad1|f6|Nd5|Qg7|b4|Bh3|Ne3|Rxd2|Rxd2|Rg8|Nh4|Ne7|Rfd1|b6|Rd8+|Kb7|Bf3|Ng6|Nhf5|Qf7|gxh3|Nf4+|Kh1|Bd6|Nxh6|Qg6|Nxg8|Nxh3|Nf5
63dc557b-60c8-4338-a19d-6f8018be082f,33,17,topkingdom32,Qc3,d2c3,d2,c3,Q,White,2kr3r/ppp2pp1/3p3p/2bN2q1/2BnPp2/2QP4/PPP2P1P/R4R1K,0,0,0,0,0,0,13,14,7,8,1,1,1,1,1,1,2,2,6,7,3,5,2,2,1,0,0,0,10,5,10,4,3,0,0,0,0,0,0,2,2,2,5,3,0,0,0,4,12,2,5,10,e4|e5|Nf3|Nc6|Bc4|Bc5|d3|d6|O-O|Bg4|Nc3|Nf6|Bg5|h6|Bxf6|Qxf6|Nd5|Qd8|Qd2|Bxf3|gxf3|Nd4|Qd1|Qg5+|Kh1|O-O-O|f4|exf4|Qc1|Ne2|Qd2|Nd4|Qc3
63dc557b-60c8-4338-a19d-6f8018be082f,33,17,topkingdom32,Qc3,d2c3,d2,c3,Q,White,2kr3r/ppp2pp1/3p3p/2bN2q1/2BnPp2/2QP4/PPP2P1P/R4R1K,0,0,0,0,0,0,13,14,7,8,1,1,1,1,1,1,2,2,6,7,3,5,2,2,1,0,0,0,10,5,10,4,3,0,0,0,0,0,0,2,2,2,5,3,0,0,0,4,12,2,5,10,e4|e5|Nf3|Nc6|Bc4|Bc5|d3|d6|O-O|Bg4|Nc3|Nf6|Bg5|h6|Bxf6|Qxf6|Nd5|Qd8|Qd2|Bxf3|gxf3|Nd4|Qd1|Qg5+|Kh1|O-O-O|f4|exf4|Qc1|Ne2|Qd2|Nd4|Qc3
61cff5e3-c569-45e8-93e8-7a85741394eb,29,15,tom_neh,Kg2,g1g2,g1,g2,K,White,2kr1b1r/pppq1ppp/8/6P1/P1BpP3/5n2/1PQ2PKP/RNB2R2,0,0,0,0,0,0,13,13,6,7,1,1,2,1,1,1,2,2,7,5,4,5,0,3,1,0,0,0,16,12,0,5,1,0,0,0,0,0,1,1,0,0,7,4,0,0,3,1,0,0,15,13,e4|e5|Nf3|d6|d4|Bg4|dxe5|Bxf3|Qxf3|dxe5|Bc4|Nf6|g4|Qd7|a4|Nc6|g5|Nd4|Qd3|Ng4|c3|O-O-O|cxd4|exd4|O-O|Ne5|Qc2|Nf3+|Kg2
61cff5e3-c569-45e8-93e8-7a85741394eb,37,19,tom_neh,Bxf3,e2f3,e2,f3,B,White,2kr3r/ppp2ppp/8/4b1P1/P2p4/5B1q/1PQ2P1P/RNB2R1K,0,0,0,0,0,0,12,12,5,7,1,1,2,1,1,0,2,2,10,6,5,4,1,1,1,0,0,0,16,12,3,1,1,0,0,0,0,0,1,1,1,0,6,3,0,0,9,1,3,0,6,10,e4|e5|Nf3|d6|d4|Bg4|dxe5|Bxf3|Qxf3|dxe5|Bc4|Nf6|g4|Qd7|a4|Nc6|g5|Nd4|Qd3|Ng4|c3|O-O-O|cxd4|exd4|O-O|Ne5|Qc2|Nf3+|Kg2|Qg4+|Kh1|Bd6|e5|Bxe5|Be2|Qh3|Bxf3
