Category,Skill,Game Over (Relative),Is Check (Relative),Is Checkmate (Relative),P,R,Q,K,B,N
modified_Fen_1_BL.csv,1,0.82,0.24,0.82,0.13,0.2,0.21,0.17,0.06,0.23
modified_Fen_1_BR.csv,1,0.71,0.19,0.71,0.13,0.24,0.16,0.21,0.08,0.17
modified_Fen_1_WL.csv,1,0.92,0.25,0.92,0.08,0.38,0.16,0.15,0.03,0.2
modified_Fen_1_WR.csv,1,0.65,0.17,0.63,0.17,0.24,0.14,0.25,0.06,0.14
modified_Fen_2_BL.csv,2,0.54,0.21,0.54,0.14,0.27,0.27,0.16,0.05,0.1
modified_Fen_2_BR.csv,2,0.57,0.17,0.53,0.15,0.25,0.18,0.2,0.08,0.15
modified_Fen_2_WL.csv,2,0.67,0.17,0.67,0.16,0.27,0.08,0.23,0.07,0.18
modified_Fen_2_WR.csv,2,0.51,0.17,0.5,0.16,0.25,0.16,0.22,0.06,0.15
modified_Fen_3_BL.csv,3,0.1,0.16,0.1,0.15,0.3,0.19,0.15,0.09,0.11
modified_Fen_3_BR.csv,3,0.47,0.16,0.47,0.11,0.3,0.17,0.22,0.05,0.15
modified_Fen_3_WL.csv,3,0.44,0.21,0.44,0.05,0.3,0.18,0.12,0.11,0.24
modified_Fen_3_WR.csv,3,0.42,0.12,0.4,0.16,0.23,0.17,0.21,0.09,0.14
Correlation,,-0.8385574390776228,-0.5792844463634923,-0.8339235435193527,-0.11774896188189278,0.16011419015528464,0.09661723007927399,-0.21509314317514597,0.5346276944318759,-0.24713340236960138
