game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
5d929b08-d13a-43b2-b01d-6f36d1de2ab4,78,39,Tiwisy85,pa5,a7a5,a7,a5,P,Black,k7/2p5/2N4p/p1p5/6P1/b6P/5P2/1R4K1,0,0,0,0,0,0,6,6,3,4,0,0,0,1,1,0,1,0,32,28,2,1,1,1,0,1,0,0,5,1,1,1,0,3,0,0,0,0,1,0,2,1,1,1,0,0,3,0,2,1,1,0,e4|d5|exd5|Qxd5|Nc3|Qa5|d4|Nf6|Nf3|Nc6|Bc4|Bg4|h3|Bh5|g4|Bg6|Bd2|e6|Nd5|Nb4|Nxf6+|gxf6|a3|Nxc2+|Qxc2|Bxc2|Bxa5|O-O-O|O-O|Be4|Nd2|Bg6|Bc3|e5|dxe5|fxe5|Bxe5|Rg8|Nf3|Be4|Nh4|Rg5|Bf6|Rgd5|Bxd8|Rxd8|Bxf7|Be7|Be6+|Kb8|Nf5|Bf6|Rad1|Re8|Bf7|Rf8|Bh5|Bf3|Rd3|Be4|Rd7|h6|Rf7|Rxf7|Bxf7|Bxb2|Re1|Bc6|Be8|Bxa3|Bxc6|bxc6|Ne7|c5|Rb1+|Ka8|Nc6|a5
5d929b08-d13a-43b2-b01d-6f36d1de2ab4,78,39,Tiwisy85,pa5,a7a5,a7,a5,P,Black,k7/2p5/2N4p/p1p5/6P1/b6P/5P2/1R4K1,0,0,0,0,0,0,6,6,3,4,0,0,0,1,1,0,1,0,32,28,2,1,1,1,0,1,0,0,5,1,1,1,0,3,0,0,0,0,1,0,2,1,1,1,0,0,3,0,2,1,1,0,e4|d5|exd5|Qxd5|Nc3|Qa5|d4|Nf6|Nf3|Nc6|Bc4|Bg4|h3|Bh5|g4|Bg6|Bd2|e6|Nd5|Nb4|Nxf6+|gxf6|a3|Nxc2+|Qxc2|Bxc2|Bxa5|O-O-O|O-O|Be4|Nd2|Bg6|Bc3|e5|dxe5|fxe5|Bxe5|Rg8|Nf3|Be4|Nh4|Rg5|Bf6|Rgd5|Bxd8|Rxd8|Bxf7|Be7|Be6+|Kb8|Nf5|Bf6|Rad1|Re8|Bf7|Rf8|Bh5|Bf3|Rd3|Be4|Rd7|h6|Rf7|Rxf7|Bxf7|Bxb2|Re1|Bc6|Be8|Bxa3|Bxc6|bxc6|Ne7|c5|Rb1+|Ka8|Nc6|a5
aae28e5e-ffc0-4310-bd4b-70337b563051,62,31,Armenplayer,Bh6,f8h6,f8,h6,B,Black,k5r1/p3pp2/2N4b/8/5p1p/P7/5P1N/1R5K,0,0,0,0,0,0,6,8,2,5,0,0,0,1,2,0,1,1,26,26,2,2,1,0,0,1,0,0,5,4,1,0,0,3,0,0,0,0,0,2,0,1,3,2,0,0,0,2,0,3,3,5,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6
aae28e5e-ffc0-4310-bd4b-70337b563051,100,50,Armenplayer,Rxd3,f3d3,f3,d3,R,Black,8/5K2/5P2/8/8/1k1r4/p7/8,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,1,33,38,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,5,0,0,0,0,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6|Ka6|Kxf7|Ka5|Rd4|Rf3|Rd5+|Kb4|f5|a3|f6|a2|Rd4+|Kb3|Rd3+|Rxd3
499da4e2-7517-4e15-8c4f-7aaf2fbea1aa,74,37,dGonzo,Rd8,d5d8,d5,d8,R,Black,k2r4/p1p5/N1p5/7p/6rP/1R5K/PPP3P1/8,0,0,0,0,0,0,8,7,5,4,0,0,0,0,1,0,1,2,25,26,0,4,2,1,0,1,0,0,0,4,5,1,0,3,0,0,0,0,0,1,1,1,2,2,0,0,0,5,1,1,2,5,e4|e5|Nf3|Nc6|Nc3|Nf6|Bb5|Bc5|O-O|Ng4|Bxc6|dxc6|h3|h5|d3|Qf6|Be3|Bxe3|fxe3|Nxe3|Qe2|Nxf1|Qxf1|Bd7|Qe2|O-O-O|d4|exd4|Na4|Be6|e5|Qf4|Rd1|Qe3+|Qxe3|dxe3|Re1|b5|Nc3|b4|Ne4|Bd5|Rxe3|Bxe4|Rxe4|Rd1+|Kh2|Re8|Rxb4|g5|Nxg5|Rxe5|Nxf7|Ree1|h4|Rh1+|Kg3|Rhf1|Ne5|Rd6|Rc4|Kb7|Rb4+|Ka8|Nd3|Rd1|Nc5|R1d4|Rb3|Rg4+|Kh3|Rd5|Na6|Rd8
499da4e2-7517-4e15-8c4f-7aaf2fbea1aa,74,37,dGonzo,Rd8,d5d8,d5,d8,R,Black,k2r4/p1p5/N1p5/7p/6rP/1R5K/PPP3P1/8,0,0,0,0,0,0,8,7,5,4,0,0,0,0,1,0,1,2,25,26,0,4,2,1,0,1,0,0,0,4,5,1,0,3,0,0,0,0,0,1,1,1,2,2,0,0,0,5,1,1,2,5,e4|e5|Nf3|Nc6|Nc3|Nf6|Bb5|Bc5|O-O|Ng4|Bxc6|dxc6|h3|h5|d3|Qf6|Be3|Bxe3|fxe3|Nxe3|Qe2|Nxf1|Qxf1|Bd7|Qe2|O-O-O|d4|exd4|Na4|Be6|e5|Qf4|Rd1|Qe3+|Qxe3|dxe3|Re1|b5|Nc3|b4|Ne4|Bd5|Rxe3|Bxe4|Rxe4|Rd1+|Kh2|Re8|Rxb4|g5|Nxg5|Rxe5|Nxf7|Ree1|h4|Rh1+|Kg3|Rhf1|Ne5|Rd6|Rc4|Kb7|Rb4+|Ka8|Nd3|Rd1|Nc5|R1d4|Rb3|Rg4+|Kh3|Rd5|Na6|Rd8
9f4671d1-f797-4f20-bed4-7fe74792e46a,50,25,AL_ASISTIO46,Rc8,h8c8,h8,c8,R,Black,k1r5/p4ppp/r1N1bn2/2Kp4/6P1/P3P2P/1R6/2B4R,0,0,0,0,0,0,9,10,4,5,0,0,1,1,1,1,2,2,18,19,2,1,3,1,1,1,0,0,8,5,3,1,0,3,0,0,0,0,0,0,1,3,4,2,0,0,0,0,1,11,4,5,d4|e6|c4|d5|cxd5|Qxd5|Nc3|Bb4|Qa4+|Nc6|Qxb4|Nxb4|Nxd5|exd5|Kd2|Bf5|a3|Nc2|Ra2|Nxd4|e3|Nb3+|Kc3|Nc5|b4|Ne4+|Kd4|Nxf2|Rxf2|Be6|Nf3|Nf6|Bd3|O-O-O|h3|b6|Ba6+|Kb8|Ne5|Rd6|g4|c5+|bxc5|bxc5+|Kxc5|Rxa6|Rb2+|Ka8|Nc6|Rc8
9f4671d1-f797-4f20-bed4-7fe74792e46a,104,52,AL_ASISTIO46,Bb3#,a2b3,a2,b3,B,Black,8/p5pp/5p2/P1n5/8/1b1k4/3p4/3K4,1,1,0,0,1,0,2,8,1,5,0,0,0,1,0,1,0,0,28,38,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,3,0,0,1,3,0,3,1,3,0,d4|e6|c4|d5|cxd5|Qxd5|Nc3|Bb4|Qa4+|Nc6|Qxb4|Nxb4|Nxd5|exd5|Kd2|Bf5|a3|Nc2|Ra2|Nxd4|e3|Nb3+|Kc3|Nc5|b4|Ne4+|Kd4|Nxf2|Rxf2|Be6|Nf3|Nf6|Bd3|O-O-O|h3|b6|Ba6+|Kb8|Ne5|Rd6|g4|c5+|bxc5|bxc5+|Kxc5|Rxa6|Rb2+|Ka8|Nc6|Rc8|Rb8+|Rxb8|Nxb8|Kxb8|Kb5|Rb6+|Kc5|Ne4+|Kd4|Nf2|Rf1|Nxh3|g5|Nxg5|Ke5|Kc7|Bd2|Kd7|e4|Nxe4|Be3|Ra6|Ra1|f6+|Kd4|Ra4+|Kd3|Kd6|Ra2|Nc5+|Kc2|d4|Bf4+|Kd5|Bc1|Ke4|Kd2|Bxa2|Bb2|Nb3+|Ke2|d3+|Kf2|d2|Ke2|Rd4|Bxd4|Kxd4|Kd1|Kd3|a4|Nc5|a5|Bb3#
7d60a71d-960a-4bbe-8361-0508660f9bb0,48,24,N_I_A029,Qe3+,e5e3,e5,e3,Q,Black,k2r1b1r/p4p2/2N1p3/1Q1p2p1/2p5/2P1q1P1/PP4PP/1R4K1,1,0,0,0,0,0,10,11,6,6,1,1,0,1,1,0,1,2,11,16,2,4,2,0,1,1,0,0,5,4,2,0,9,3,0,0,0,0,1,1,2,1,2,4,0,0,9,1,2,1,2,13,e4|e6|d4|d5|e5|c5|c3|Nc6|Nf3|b6|Bb5|Bb7|O-O|Qc7|Re1|Ne7|Bg5|O-O-O|dxc5|bxc5|Qa4|Kb8|Nbd2|h6|Bf4|g5|Bg3|Ng6|Nb3|c4|Nbd4|Nxd4|Nxd4|h5|Bc6|h4|Bxb7|Kxb7|Qb5+|Ka8|Rab1|hxg3|fxg3|Nxe5|Rxe5|Qxe5|Nc6|Qe3+
7d60a71d-960a-4bbe-8361-0508660f9bb0,56,28,N_I_A029,pg4,g5g4,g5,g4,P,Black,k1r4r/p4p2/Qb2p3/N2p4/1Pp3p1/2P1q1P1/P5PP/1R5K,0,0,0,0,0,0,10,11,6,6,1,1,0,1,1,0,1,2,11,16,2,3,2,1,1,1,0,0,5,3,2,1,3,9,0,0,0,0,1,2,1,2,2,3,0,0,9,2,1,4,2,10,e4|e6|d4|d5|e5|c5|c3|Nc6|Nf3|b6|Bb5|Bb7|O-O|Qc7|Re1|Ne7|Bg5|O-O-O|dxc5|bxc5|Qa4|Kb8|Nbd2|h6|Bf4|g5|Bg3|Ng6|Nb3|c4|Nbd4|Nxd4|Nxd4|h5|Bc6|h4|Bxb7|Kxb7|Qb5+|Ka8|Rab1|hxg3|fxg3|Nxe5|Rxe5|Qxe5|Nc6|Qe3+|Kh1|Rc8|Qa6|Bc5|b4|Bb6|Na5|g4
