Category,Skill,Game Over (Relative),Is Check (Relative),Is Checkmate (Relative),P,R,Q,K,B,N
modified_Fen_1_BL.csv,1,0.82,0.21,0.82,0.15,0.2,0.22,0.13,0.05,0.25
modified_Fen_1_BR.csv,1,0.71,0.19,0.71,0.13,0.25,0.16,0.21,0.09,0.17
modified_Fen_1_WL.csv,1,0.92,0.28,0.92,0.06,0.42,0.15,0.09,0.03,0.25
modified_Fen_1_WR.csv,1,0.65,0.17,0.63,0.18,0.25,0.14,0.25,0.06,0.13
modified_Fen_2_BL.csv,2,0.54,0.2,0.54,0.15,0.27,0.27,0.15,0.06,0.09
modified_Fen_2_BR.csv,2,0.57,0.17,0.53,0.15,0.25,0.17,0.2,0.08,0.15
modified_Fen_2_WL.csv,2,0.67,0.17,0.67,0.17,0.27,0.07,0.23,0.08,0.19
modified_Fen_2_WR.csv,2,0.51,0.16,0.5,0.16,0.26,0.16,0.22,0.06,0.15
modified_Fen_3_BL.csv,3,0.1,0.16,0.1,0.15,0.31,0.2,0.14,0.1,0.1
modified_Fen_3_BR.csv,3,0.47,0.16,0.47,0.11,0.3,0.17,0.22,0.05,0.15
modified_Fen_3_WL.csv,3,0.44,0.23,0.44,0.04,0.31,0.2,0.14,0.1,0.22
modified_Fen_3_WR.csv,3,0.42,0.12,0.4,0.17,0.22,0.16,0.22,0.09,0.13
Correlation,,-0.8385574390776228,-0.46537892099551714,-0.8339235435193527,-0.12112539577787722,0.03785507794471094,0.1320036961552393,0.08441499118250298,0.5248021521847872,-0.4009634698823127
